submission_id,AnswerCertainty,AnswerPolarity,ContextType,StimID,TaskType,TrialType,age,certainty_max,certainty_min,confidence,education,experiment_duration,experiment_end_time,experiment_start_time,gender,group,languages,p_max,p_min,prolific_pid,prolific_session_id,prolific_study_id,response_time,sliderResponse,trialNr
3053,NA,NA,NA,1,prior,practice,29,NA,NA,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,30596,4,1
3053,NA,NA,NA,1,posterior,practice,29,NA,NA,7,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,10300,0,2
3053,NA,NA,NA,1,relevance,practice,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,3926,100,3
3053,low_certainty,negative,negative,8,prior,main,29,NA,NA,4,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,44541,21,1
3053,low_certainty,negative,negative,8,posterior,main,29,NA,NA,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,8271,8,2
3053,low_certainty,negative,negative,8,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,4757,82,3
3053,NA,NA,NA,1,prior,reasoning,29,4,1,3,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,0.6,0.4,,,,30627,50,4
3053,NA,NA,NA,1,posterior,reasoning,29,7,3,5,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,0.6,0.4,,,,10318,50,5
3053,non_answer,N/A,negative,2,prior,main,29,NA,NA,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,15882,4,6
3053,non_answer,N/A,negative,2,posterior,main,29,NA,NA,5,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,14839,4,7
3053,non_answer,N/A,negative,2,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,2976,0,8
3053,high_certainty,positive,positive,9,prior,main,29,NA,NA,2,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,21161,24,9
3053,high_certainty,positive,positive,9,posterior,main,29,NA,NA,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,6404,96,10
3053,high_certainty,positive,positive,9,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,2584,100,11
3053,exhaustive,positive,neutral,3,prior,main,29,NA,NA,4,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,11173,80,12
3053,exhaustive,positive,neutral,3,posterior,main,29,NA,NA,7,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,8051,100,13
3053,exhaustive,positive,neutral,3,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,2363,100,14
3053,NA,NA,NA,1,prior,attenetion,29,6,6,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,1,0.95,,,,19130,100,15
3053,exhaustive,negative,positive,10,prior,main,29,NA,NA,3,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,27240,27,16
3053,exhaustive,negative,positive,10,posterior,main,29,NA,NA,7,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,6751,0,17
3053,exhaustive,negative,positive,10,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,3374,100,18
3053,low_certainty,positive,neutral,7,prior,main,29,NA,NA,5,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,26254,65,19
3053,low_certainty,positive,neutral,7,posterior,main,29,NA,NA,5,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,7471,65,20
3053,low_certainty,positive,neutral,7,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,6004,59,21
3053,NA,NA,NA,2,prior,reasoning,29,7,5,7,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,0.45,0.25,,,,58863,33,22
3053,NA,NA,NA,2,posterior,reasoning,29,7,5,7,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,0.75,0.55,,,,22288,66,23
3053,low_certainty,negative,neutral,5,prior,main,29,NA,NA,2,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,16888,50,24
3053,low_certainty,negative,neutral,5,posterior,main,29,NA,NA,4,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,7199,55,25
3053,low_certainty,negative,neutral,5,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,5585,58,26
3053,non_answer,N/A,negative,11,prior,main,29,NA,NA,4,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,54232,54,27
3053,non_answer,N/A,negative,11,posterior,main,29,NA,NA,3,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,6427,51,28
3053,non_answer,N/A,negative,11,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,2028,0,29
3053,high_certainty,negative,positive,4,prior,main,29,NA,NA,2,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,66154,17,30
3053,high_certainty,negative,positive,4,posterior,main,29,NA,NA,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,4313,0,31
3053,high_certainty,negative,positive,4,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,3563,41,32
3053,NA,NA,NA,2,prior,attention,29,2,2,2,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,0.05,0,,,,11750,0,33
3053,high_certainty,positive,positive,1,prior,main,29,NA,NA,4,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,16070,74,34
3053,high_certainty,positive,positive,1,posterior,main,29,NA,NA,6,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,4712,100,35
3053,high_certainty,positive,positive,1,relevance,main,29,NA,NA,NA,Graduated College,637019,1645456501484,1645455864465,female,relevant,English,NA,NA,,,,2114,100,36
3052,NA,NA,NA,1,prior,practice,43,NA,NA,3,Higher degree,1198666,1645455491554,1645454292888,male,helpful,English,NA,NA,,,,77626,90,1
3052,NA,NA,NA,1,posterior,practice,43,NA,NA,5,Higher degree,1198666,1645455491554,1645454292888,male,helpful,English,NA,NA,,,,73047,5,2
3052,NA,NA,NA,1,relevance,practice,43,NA,NA,NA,Higher degree,1198666,1645455491554,1645454292888,male,helpful,English,NA,NA,,,,24114,80,3
3052,high_certainty,positive,positive,5,prior,main,43,NA,NA,6,Higher degree,1198666,1645455491554,1645454292888,male,helpful,English,NA,NA,,,,38472,90,1
3052,high_certainty,positive,positive,5,posterior,main,43,NA,NA,7,Higher degree,1198666,1645455491554,1645454292888,male,helpful,English,NA,NA,,,,25837,98,2
